Neighborhood,Code,Square,Weight,mg.ml,ppb,Al,Al_Percent,Al_per_day,Al_ppb,Al_ppb_day,Cr,Cr_Percent,Cr_ppb,Cr_ppb_day,Fe,Fe_Percent,Fe_per_day,Fe_Ppb,Fe_ppb_day,Pb,Pb_Percent,Pb_per_day,Pb_ppb,Pb_ppb_day,Ni,Ni_Percent,Ni_ppb,Ni_ppb_day,Area,Density,AADT_max,AADT_sum,AADT_mean,AADT_median,NB,Eastalco_dist_m,Gd_dist_m,Ngc_dist_m,Bmoreterminal_dist_m,Adell_dist_m,Prince_dist_m,Sd_dist_m,Sng_dist_m,Usg_dist_m,Kemira_dist_m
BK,13032,13,0.96,0.32,320000,109,0.0340343,0.00126053,340343,12605,BLQ,NA,NA,NA,35,0.0108974,0.000403607,108974,4036,4,0.0012504,4.63E-05,12504,463,BLQ,NA,NA,NA,194.292,7.040949,561,561,561,561,BK,15743768,4175657.688,6815498.389,3074368.915,16803363.84,17161484.46,5876820.744,9438585.501,4991144.609,13448874.79
BK,13042,13,0.47,0.156666667,156666.6667,62,0.0396445,0.001468315,396445,14683,BLQ,NA,NA,NA,483,0.3084516,0.011424133,3084516,114241,5,0.0030306,0.000112244,30306,1122,BLQ,NA,NA,NA,194.292,7.040949,561,561,561,561,BK,15743768,4175657.688,6815498.389,3074368.915,16803363.84,17161484.46,5876820.744,9438585.501,4991144.609,13448874.79
CB,14492,14,7.77,2.59,2590000,460,0.0177451,0.000739379,177451,7394,BLQ,NA,NA,NA,301,0.0116129,0.000483871,116129,4839,574,0.0221803,0.000924179,221803,9242,BLQ,NA,NA,NA,194.292,7.040948675,2891,2891,2891,2891,CB,8295174.519,10229742.08,14296676.65,5609482.069,15658134.84,9976308.355,10958289.85,11227654.03,11371706.76,6968771.301
CB,14502,14,10.72,3.573333333,3573333.333,513,0.0143675,0.000598646,143675,5986,BLQ,NA,NA,NA,343,0.0095983,0.000399929,95983,3999,527,0.0147378,0.000614075,147378,6141,BLQ,NA,NA,NA,194.292,7.040948675,2891,2891,2891,2891,CB,8295174.519,10229742.08,14296676.65,5609482.069,15658134.84,9976308.355,10958289.85,11227654.03,11371706.76,6968771.301
CB,14512,14,15.69,5.23,5230000,436,0.0083395,0.000347479,83395,3475,30,0,5678,237,333,0.0063578,0.000264908,63578,2649,467,0.0089205,0.000371688,89205,3717,254,0.004853513,48535.12705,2022.29696,194.292,7.040948675,2891,2891,2891,2891,CB,8295174.519,10229742.08,14296676.65,5609482.069,15658134.84,9976308.355,10958289.85,11227654.03,11371706.76,6968771.301
CB,14522,14,15.02,5.006666667,5006666.667,410,0.0081905,0.000341271,81905,3413,BLQ,NA,NA,NA,305,0.0060974,0.000254058,60974,2541,705,0.0140905,0.000587104,140905,5871,56,0.001122979,11229.78661,467.9077755,194.292,7.040948675,2891,2891,2891,2891,CB,8295174.519,10229742.08,14296676.65,5609482.069,15658134.84,9976308.355,10958289.85,11227654.03,11371706.76,6968771.301
CB,14532,14,3.93,1.31,1310000,160,0.0122394,0.000509975,122394,5100,BLQ,NA,NA,NA,101,0.0077031,0.000320963,77031,3210,149,0.0113694,0.000473725,113694,4737,BLQ,NA,NA,NA,194.292,7.040948675,2891,2891,2891,2891,CB,8295174.519,10229742.08,14296676.65,5609482.069,15658134.84,9976308.355,10958289.85,11227654.03,11371706.76,6968771.301
CB,15542,15,5.12,1.706666667,1706666.667,275,0.0160945,0.000670604,160945,6706,BLQ,NA,NA,NA,235,0.0137988,0.00057495,137988,5749,165,0.0096624,0.0004026,96624,4026,BLQ,NA,NA,NA,194.292,7.040948675,7840,13160,6580,6580,CB,4799384.517,11313858.29,14404649.26,10354611.69,8980151.213,4362652.167,9895693.597,6193949.009,11568140.38,2414759.591
CB,15552,15,72.82,24.27333333,24273333.33,752,0.0030999,0.000129163,30999,1292,BLQ,NA,NA,NA,375,0.0015466,6.44E-05,15466,644,307,0.0012665,5.28E-05,12665,528,BLQ,NA,NA,NA,194.292,7.040948675,7840,13160,6580,6580,CB,4799384.517,11313858.29,14404649.26,10354611.69,8980151.213,4362652.167,9895693.597,6193949.009,11568140.38,2414759.591
CB,15562,15,4.91,1.636666667,1636666.667,182,0.0111501,0.000464588,111501,4646,BLQ,NA,NA,NA,158,0.0096524,0.000402183,96524,4022,135,0.0082539,0.000343913,82539,3439,BLQ,NA,NA,NA,194.292,7.040948675,7840,13160,6580,6580,CB,4799384.517,11313858.29,14404649.26,10354611.69,8980151.213,4362652.167,9895693.597,6193949.009,11568140.38,2414759.591
