,tablepb.comparisons,tablepb.Z,tablepb.P.adjusted
172,Jan-55,0.580735938,0.280709218
309,20 - 7,-0.574964962,0.282657497
182,22 - 55,-0.573566359,0.283130641
250,43 - 58,-0.571433926,0.283852769
98,18 - 32,-0.566396779,0.285562042
324,59 - 7,0.563241848,0.286635105
299,58 - 6,0.56281199,0.286781458
201,22 - 56,0.55564241,0.289227667
450,32 - 9,-0.550098805,0.291125803
292,33 - 6,-0.534934673,0.296347516
114,20 - 33,0.532630878,0.297144562
29,20-Jan,0.526964092,0.299109262
441,15 - 9,-0.521645419,0.300958617
389,22 - 72,0.520206394,0.301459865
315,32 - 7,-0.501040896,0.308171171
132,23 - 41,-0.493192032,0.310938454
187,33 - 55,-0.477531132,0.316491979
306,15 - 7,-0.47639954,0.316894881
443,19 - 9,-0.47639954,0.316894881
138,Oct-42,0.473927944,0.317775646
308,19 - 7,-0.467536848,0.320057918
53,19 - 22,0.465447826,0.320805396
159,15 - 43,0.464985907,0.320970774
169,33 - 43,-0.464641856,0.321093977
282,15 - 6,0.455254184,0.324463192
184,Mar-55,0.453042356,0.325259121
368,41 - 71,0.451758185,0.325721598
17,18-Oct,0.451683508,0.325748501
92,Jan-32,0.445769722,0.327881798
168,32 - 43,0.438159797,0.330635225
342,41 - 70,-0.438068543,0.330668299
68,3-Oct,-0.432570631,0.332663365
291,32 - 6,0.426800797,0.334762213
11,15-Jan,0.417316335,0.338223521
22,19-Jan,0.416165115,0.338644592
251,55 - 58,-0.404898788,0.342775955
147,22 - 42,-0.402391651,0.343697907
75,20 - 3,-0.39794261,0.345336245
423,41 - 73,-0.394326872,0.346669863
449,31 - 9,-0.388862949,0.348688766
113,19 - 33,0.388747267,0.348731556
227,41 - 57,0.371482412,0.355139127
185,31 - 55,0.365648554,0.35731367
314,31 - 7,-0.361406548,0.358897777
125,14 - 41,-0.360409562,0.359270438
240,20 - 58,-0.359910034,0.359457207
233,Oct-58,-0.354894185,0.361334433
275,57 - 59,0.346395735,0.364522665
258,14 - 59,0.331289335,0.370212973
381,Dec-72,-0.330598476,0.370473899
35,18 - 20,-0.31492128,0.376410712
74,19 - 3,-0.314700169,0.376494658
80,31-Oct,-0.312987251,0.377145174
87,20 - 31,-0.311876708,0.377567112
239,19 - 58,-0.3061097,0.379760561
448,9-Mar,-0.300487995,0.381902476
155,Oct-43,0.29508721,0.38396363
145,20 - 42,0.294375053,0.384235664
79,31-Jan,0.284533865,0.388000643
313,7-Mar,-0.282772028,0.388675799
152,33 - 42,-0.278785113,0.39020487
278,6-Oct,0.275049403,0.391639142
104,Mar-32,0.274071468,0.39201485
178,18 - 55,-0.269932525,0.393606082
177,15 - 55,0.265274441,0.395399026
39,21-Dec,-0.257132148,0.398538381
86,19 - 31,-0.251889412,0.400563272
52,18 - 22,0.250935282,0.400932073
28,18 - 19,-0.24488776,0.40327167
72,15 - 3,-0.244352875,0.403478768
186,32 - 55,0.243765702,0.403706142
283,18 - 6,-0.243765702,0.403706142
