Square,mg.ml,Al_per_day,Fe_per_day,Pb_per_day,Density,AADT_max,AADT_sum,AADT_mean,Gd_dist_m,Bmoreterminal_dist_m,Adell_dist_m,Sng_dist_m,Usg_dist_m,Kemira_dist_m,Ngc_dist_m,Prince_dist_m,Sd_dist_m,Eastalco_dist_m
59,0.55,0.00128565,0.000659668,0.000414936,13.52894734,15830,18672,6224,17421975.81,12966414.22,8350264.936,13550540.8,18450026.91,5234003.622,17452145.86,4284631.052,16991679.11,2749324.902
41,4.65,0.000538582,6.95E-05,0.00042025,10.26783045,1901,1901,1901,6367464.692,3694605.385,17506485.23,11282187.23,7209533.97,12713154.9,8525770.001,15879970.9,8019335.23,14100213.55
6,1.96,0.000678896,0.000411658,0.000423392,0.049604158,7840,13160,6580,12142333.06,13872979.96,4907448.373,6650686.734,11620062.72,5859469.878,11910743.64,4027585.722,10378226.76,5786518.605
41,1.393333333,0.000579486,0.000231864,0.000438205,10.26783045,1901,1901,1901,6367464.692,3694605.385,17506485.23,11282187.23,7209533.97,12713154.9,8525770.001,15879970.9,8019335.23,14100213.55
55,0.803333333,0.000713364,0.000378,0.000458464,16.00025481,64785,129570,64785,17665914.48,13735997.97,7389390.462,12751981.38,18231180.01,4812917.311,17139634.69,3161510.75,16556729.61,1872019.709
23,4.01,0.000270892,0.000185925,0.0004621,14.49246351,7840,13160,6580,2575598.397,5665940.749,13441919.98,8004069.081,2463818.331,15391228.02,3452171.247,17794603.58,4065983.924,18527180.51
14,1.31,0.000509975,0.000320963,0.000473725,7.040948675,2891,2891,2891,10229742.08,5609482.069,15658134.84,11227654.03,11371706.76,6968771.301,14296676.65,9976308.355,10958289.85,8295174.519
57,0.333333333,0.00104135,0.000480114,0.000480345,16.00025481,15830,32322,10774,18280510.36,14765704.26,7042568.634,16048882.92,18073973.96,8472781.668,14106540,6246287.196,19535915.11,5512915.229
1,4.24,0.000345221,0.000372396,0.000480529,0.049604158,12970,12970,12970,8563819.815,5179829.397,16597002.01,13069308.25,9422406.153,11685275.92,10302787.69,14080557,10172178.03,12240100.31
23,4.783333333,0.000241871,0.000203821,0.000522842,14.49246351,7840,13160,6580,2575598.397,5665940.749,13441919.98,8004069.081,2463818.331,15391228.02,3452171.247,17794603.58,4065983.924,18527180.51
23,6.813333333,0.000205263,0.000184408,0.0005323,14.49246351,7840,13160,6580,2575598.397,5665940.749,13441919.98,8004069.081,2463818.331,15391228.02,3452171.247,17794603.58,4065983.924,18527180.51
32,5.026666667,0.000382029,0.000272933,0.000540583,26.34280272,2971,3532,1766,1360672.898,3285260.308,15073655.29,5994542.236,2502727.251,12118851.02,6261869.806,15269945.66,2581780.249,15247532.96
32,11.00333333,0.000218783,0.000154846,0.000555771,26.34280272,2971,3532,1766,1360672.898,3285260.308,15073655.29,5994542.236,2502727.251,12118851.02,6261869.806,15269945.66,2581780.249,15247532.96
20,0.553333333,0.000848859,0.000384995,0.000572982,33.21326855,2971,2971,2971,16300493.25,14898417.79,6947705.591,17220916.77,15847927.85,10693342.42,11933186.63,8138442.447,17431905.66,7675213.209
3,2.076666667,0.000598467,0.000560833,0.000573679,0.04960416,12970,26130,8710,878900.5496,5509586.192,12936761.35,5450613.029,292888.1539,13238666.41,4382883.45,15288275.83,1515678.066,16198512.63
