"Date","PM2.5","Yr.x","Site","combo.x","mo.x","Fe","Pb","Al","Yr.y","mo.y","combo.y","Alper","Feper","Pbper"
2020-09-09,4.7,"20","HU","20-09","09",0.064,0.004,0.012,"20","09","20-09",0.25531914893617,1.36170212765957,0.0851063829787234
2020-09-06,6.7,"20","HU","20-09","09",0.045,0,0.042,"20","09","20-09",0.626865671641791,0.671641791044776,0
2020-09-03,6.2,"20","HU","20-09","09",0.151,0,0.061,"20","09","20-09",0.983870967741935,2.43548387096774,0
2020-11-23,4.8,"20","HU","20-11","11",0.082,0,0.012,"20","11","20-11",0.25,1.70833333333333,0
2020-11-11,3.3,"20","HU","20-11","11",0.03,0.006,0,"20","11","20-11",0,0.909090909090909,0.181818181818182
2020-10-30,0.9,"20","HU","20-10","10",0.031,0,0.017,"20","10","20-10",1.88888888888889,3.44444444444444,0
2020-10-18,5.4,"20","HU","20-10","10",0.026,0.008,0,"20","10","20-10",0,0.481481481481481,0.148148148148148
2020-10-06,7,"20","HU","20-10","10",0.213,0.003,0.121,"20","10","20-10",1.72857142857143,3.04285714285714,0.0428571428571429
2011-11-23,3.7,"11","HU","11-11","11",0.0271,0,0,"11","11","11-11",0,0.732432432432432,0
2011-11-11,6.4,"11","HU","11-11","11",0.0245,0,0.021,"11","11","11-11",0.328125,0.3828125,0
2011-10-30,3.2,"11","HU","11-10","10",0.0442,0,0,"11","10","11-10",0,1.38125,0
2011-10-18,8.7,"11","HU","11-10","10",0.0724,0.004,0,"11","10","11-10",0,0.832183908045977,0.0459770114942529
2011-10-06,4,"11","HU","11-10","10",0.103,0,0.021,"11","10","11-10",0.525,2.575,0
2011-09-24,5.9,"11","HU","11-09","09",0.04,0.001,0.017,"11","09","11-09",0.288135593220339,0.677966101694915,0.0169491525423729
2011-09-18,4,"11","HU","11-09","09",0.0426,0,0.001,"11","09","11-09",0.025,1.065,0
2011-09-12,9.3,"11","HU","11-09","09",0.0759,0,0.036,"11","09","11-09",0.387096774193548,0.816129032258064,0
2011-11-29,2.5,"11","HU","11-11","11",0.0255,0,0,"11","11","11-11",0,1.02,0
2011-11-26,10.2,"11","HU","11-11","11",NA,NA,NA,"11","11","11-11",NA,NA,NA
2011-11-23,3.8,"11","HU","11-11","11",0.0271,0,0,"11","11","11-11",0,0.713157894736842,0
2011-11-20,9.5,"11","HU","11-11","11",0.0593,0,0.021,"11","11","11-11",0.221052631578947,0.624210526315789,0
2011-11-17,4.4,"11","HU","11-11","11",0.0228,0.002,0.02,"11","11","11-11",0.454545454545455,0.518181818181818,0.0454545454545455
2011-11-11,6.1,"11","HU","11-11","11",0.0245,0,0.021,"11","11","11-11",0.344262295081967,0.401639344262295,0
2011-11-08,10.2,"11","HU","11-11","11",0.359,0.003,0.257,"11","11","11-11",2.51960784313726,3.51960784313725,0.0294117647058824
2011-11-05,3.4,"11","HU","11-11","11",0.0903,0.0044,0.015,"11","11","11-11",0.441176470588235,2.65588235294118,0.129411764705882
2011-11-02,10.3,"11","HU","11-11","11",0.179,0.005,0.006,"11","11","11-11",0.058252427184466,1.7378640776699,0.0485436893203883
2011-10-30,3.2,"11","HU","11-10","10",0.0442,0,0,"11","10","11-10",0,1.38125,0
2011-10-27,11.5,"11","HU","11-10","10",0.222,0.0039,0.041,"11","10","11-10",0.356521739130435,1.9304347826087,0.0339130434782609
2011-10-24,11.1,"11","HU","11-10","10",0.0853,0.0043,0.001,"11","10","11-10",0.00900900900900901,0.768468468468469,0.0387387387387387
2011-10-18,8.7,"11","HU","11-10","10",0.0724,0.004,0,"11","10","11-10",0,0.832183908045977,0.0459770114942529
2011-10-15,3.5,"11","HU","11-10","10",0.0204,0.001,0.02,"11","10","11-10",0.571428571428571,0.582857142857143,0.0285714285714286
2011-10-09,10.2,"11","HU","11-10","10",0.138,0.003,0.042,"11","10","11-10",0.411764705882353,1.35294117647059,0.0294117647058824
2011-10-06,4.1,"11","HU","11-10","10",0.103,0,0.021,"11","10","11-10",0.51219512195122,2.51219512195122,0
2011-09-30,7.7,"11","HU","11-09","09",0.0888,0,0.013,"11","09","11-09",0.168831168831169,1.15324675324675,0
2011-09-27,6.8,"11","HU","11-09","09",0.0407,0.0054,0.038,"11","09","11-09",0.558823529411765,0.598529411764706,0.0794117647058824
2011-09-24,6.1,"11","HU","11-09","09",0.04,0.001,0.017,"11","09","11-09",0.278688524590164,0.655737704918033,0.0163934426229508
2011-09-21,6.3,"11","HU","11-09","09",NA,NA,NA,"11","09","11-09",NA,NA,NA
2011-09-18,3.9,"11","HU","11-09","09",0.0426,0,0.001,"11","09","11-09",0.0256410256410256,1.09230769230769,0
2011-09-15,7.9,"11","HU","11-09","09",0.0422,0,0,"11","09","11-09",0,0.534177215189873,0
2011-09-12,9.3,"11","HU","11-09","09",0.0759,0,0.036,"11","09","11-09",0.387096774193548,0.816129032258064,0
2011-09-06,1.7,"11","HU","11-09","09",0.0411,0,0.015,"11","09","11-09",0.882352941176471,2.41764705882353,0
2012-11-29,9.8,"12","HU","12-11","11",0.19,0.003,0.04,"12","11","12-11",0.408163265306122,1.93877551020408,0.0306122448979592
2012-11-23,9.8,"12","HU","12-11","11",0.154,0.005,0.017,"12","11","12-11",0.173469387755102,1.57142857142857,0.0510204081632653
2012-11-20,10.1,"12","HU","12-11","11",NA,NA,NA,"12","11","12-11",NA,NA,NA
2012-11-17,6.5,"12","HU","12-11","11",0.0726,0.001,0.002,"12","11","12-11",0.0307692307692308,1.11692307692308,0.0153846153846154
2012-11-14,6.5,"12","HU","12-11","11",0.104,0.002,0.039,"12","11","12-11",0.6,1.6,0.0307692307692308
2012-11-11,16.1,"12","HU","12-11","11",0.0563,0.001,0,"12","11","12-11",0,0.349689440993789,0.0062111801242236
2012-11-08,4.7,"12","HU","12-11","11",0.0438,0,0.045,"12","11","12-11",0.957446808510638,0.931914893617021,0
2012-11-02,4.7,"12","HU","12-11","11",0.0469,0,0,"12","11","12-11",0,0.997872340425532,0
2012-10-30,1.2,"12","HU","12-10","10",NA,NA,NA,"12","10","12-10",NA,NA,NA
2012-10-27,4.7,"12","HU","12-10","10",0.0223,0.001,0,"12","10","12-10",0,0.474468085106383,0.0212765957446809
2012-10-24,13.2,"12","HU","12-10","10",0.103,0.006,0.025,"12","10","12-10",0.189393939393939,0.78030303030303,0.0454545454545455
2012-10-21,5.2,"12","HU","12-10","10",0.0209,0,0.008,"12","10","12-10",0.153846153846154,0.401923076923077,0
2012-10-18,5.8,"12","HU","12-10","10",0.0183,0,0,"12","10","12-10",0,0.31551724137931,0
2012-10-15,6.9,"12","HU","12-10","10",0.0235,0,0,"12","10","12-10",0,0.340579710144927,0
2012-10-06,9.1,"12","HU","12-10","10",0.0267,0,0.029,"12","10","12-10",0.318681318681319,0.293406593406593,0
2012-10-03,7,"12","HU","12-10","10",0.162,0.001,0.014,"12","10","12-10",0.2,2.31428571428571,0.0142857142857143
