"Date","PM2.5","Yr.x","Site","combo.x","mo.x","Fe","Pb","Al","Yr.y","mo.y","combo.y","Alper","Feper","Pbper"
2011-09-18,4.2,"11","ES","11-09","09",0.032,0,0.015,"11","09","11-09",0.357142857142857,0.761904761904762,0
2011-09-21,5.9,"11","ES","11-09","09",0.0571,0.002,0,"11","09","11-09",0,0.967796610169491,0.0338983050847458
2011-09-24,7.2,"11","ES","11-09","09",0.0533,0,0,"11","09","11-09",0,0.740277777777778,0
2011-09-27,6.5,"11","ES","11-09","09",0.027,0,0.004,"11","09","11-09",0.0615384615384615,0.415384615384615,0
2011-09-30,10,"11","ES","11-09","09",0.118,0,0.053,"11","09","11-09",0.53,1.18,0
2011-10-06,5.6,"11","ES","11-10","10",0.115,0.0048,0.027,"11","10","11-10",0.482142857142857,2.05357142857143,0.0857142857142857
2011-10-09,18.5,"11","ES","11-10","10",0.223,0.0072,0.038,"11","10","11-10",0.205405405405405,1.20540540540541,0.0389189189189189
2011-10-12,4.4,"11","ES","11-10","10",0.0318,0,0,"11","10","11-10",0,0.722727272727273,0
2011-10-15,3.5,"11","ES","11-10","10",0.0447,0,0,"11","10","11-10",0,1.27714285714286,0
2011-10-18,9.5,"11","ES","11-10","10",0.12,0,0.042,"11","10","11-10",0.442105263157895,1.26315789473684,0
2011-10-24,15.2,"11","ES","11-10","10",0.129,0.002,0,"11","10","11-10",0,0.848684210526316,0.0131578947368421
2011-10-30,7.2,"11","ES","11-10","10",0.0425,0,0,"11","10","11-10",0,0.590277777777778,0
2011-11-02,16.4,"11","ES","11-11","11",0.18,0.0096,0.011,"11","11","11-11",0.0670731707317073,1.09756097560976,0.0585365853658537
2011-11-05,8.9,"11","ES","11-11","11",0.0782,0.0084,0.008,"11","11","11-11",0.0898876404494382,0.878651685393258,0.0943820224719101
2011-11-08,18.6,"11","ES","11-11","11",0.424,0.0205,0.021,"11","11","11-11",0.112903225806452,2.27956989247312,0.110215053763441
2011-11-11,6.6,"11","ES","11-11","11",0.0351,0.001,0.003,"11","11","11-11",0.0454545454545455,0.531818181818182,0.0151515151515152
2011-11-17,4.2,"11","ES","11-11","11",0.0233,0.002,0,"11","11","11-11",0,0.554761904761905,0.0476190476190476
2011-11-20,13,"11","ES","11-11","11",0.0887,0.0083,0.024,"11","11","11-11",0.184615384615385,0.682307692307692,0.0638461538461538
2011-11-23,4.6,"11","ES","11-11","11",0.0489,0.0032,0.016,"11","11","11-11",0.347826086956522,1.06304347826087,0.0695652173913043
2011-11-26,25.6,"11","ES","11-11","11",NA,NA,NA,"11","11","11-11",NA,NA,NA
2011-11-29,3.2,"11","ES","11-11","11",0.0411,0.001,0,"11","11","11-11",0,1.284375,0.03125
2012-09-03,10.7,"12","ES","12-09","09",0.0334,0,0.027,"12","09","12-09",0.252336448598131,0.31214953271028,0
2012-09-06,6.8,"12","ES","12-09","09",0.057,0.003,0.009,"12","09","12-09",0.132352941176471,0.838235294117647,0.0441176470588235
2012-09-09,4.7,"12","ES","12-09","09",0.0242,0.001,0,"12","09","12-09",0,0.514893617021277,0.0212765957446809
2012-09-12,11,"12","ES","12-09","09",0.129,0.001,0,"12","09","12-09",0,1.17272727272727,0.00909090909090909
2012-09-15,7.1,"12","ES","12-09","09",0.0513,0,0,"12","09","12-09",0,0.722535211267606,0
2012-09-18,4.7,"12","ES","12-09","09",0.0274,0,0,"12","09","12-09",0,0.582978723404255,0
